record_id,report_date,campaign_id,campaign_name,campaign_objective,campaign_status,channel,platform,ad_format,product_family,product_name,region,country,city,device_type,audience_segment,planned_budget_usd,ad_spend_usd,creative_cost_usd,agency_cost_usd,marketing_tools_cost_usd,impressions,reach,video_views,engagements,clicks,landing_page_sessions,leads,add_to_cart,conversions,new_customers,returning_customers,units_sold,attributed_revenue_usd,email_sent,email_delivered,email_opens,email_clicks,unsubscribes,currency_code,source_system,source_file_name,batch_id,ingestion_timestamp
REC0007511,2025-03-25,CMP0022,Accessories Product Launch 2025 Wave 22,Product Launch,Completed,Google Display,Google Ads,Static Image,Accessories,Cases and Covers,Europe,Spain,Madrid,Mobile,Existing Customers,424.13,476.62,40.38,35.18,13.0,75039,66592,0,1599,677,585,29,34,1,1,0,2,90.66,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250325.csv,BATCH-GOOG-20250325-02,2025-03-26 04:35:00
REC0000097,2025-03-12,CMP0001,iPad Lead Generation 2024 Wave 01,Lead Generation,Completed,TikTok,TikTok Ads,Sponsored Post,iPad,iPad Air,North America,Canada,Montreal,Mobile,Premium Customers,138.67,136.47,7.58,7.69,4.41,16936,10608,0,422,184,137,21,10,1,1,0,1,565.02,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20250312.csv,BATCH-ECOM-20250312-01,2025-03-13 02:34:00
REC0018408,2026-05-19,CMP0052,iPad Website Traffic 2025 Wave 52,Website Traffic,Completed,LinkedIn,LinkedIn Campaign Manager,Carousel,iPad,iPad Pro,Europe,Spain,Madrid,Mobile,New Technology Buyers,114.22,122.37,5.73,7.8,1.65,5644,3425,0,64,46,34,0,2,0,0,0,0,0.0,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20260519.csv,BATCH-ECOM-20260519-03,2026-05-20 01:42:00
REC0021483,2025-12-23,CMP0061,Apple Arcade Service Subscription 2025 Wave 61,Service Subscription,Completed,Google Display,Google Ads,Display Banner,Apple Arcade,Apple Arcade Subscription,Asia Pacific,South Korea,Seoul,Mobile,Students,143.06,154.26,7.08,14.71,4.29,24819,20007,0,424,195,140,3,12,2,0,2,2,13.17,0,0,0,0,0,USD,Google Ads API,google_ads_api_20251223.csv,BATCH-GOOG-20251223-03,2025-12-24 01:33:00
REC0011903,2025-08-07,CMP0035,Apple Watch Brand Awareness 2025 Wave 35,Brand Awareness,Completed,Affiliate Marketing,Affiliate Network,Sponsored Post,Apple Watch,Apple Watch,Asia Pacific,South Korea,Busan,Mobile,Price-Sensitive Customers,58.03,66.91,5.78,6.65,2.25,8775,6950,0,354,280,198,5,13,1,1,0,1,349.0,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20250807.csv,BATCH-AFFI-20250807-02,2025-08-08 01:52:00
REC0003821,2025-03-19,CMP0011,Apple Arcade Customer Retention 2024 Wave 11,Customer Retention,Paused,Apple Search Ads,Apple Search Ads,Search Ad,Apple Arcade,Apple Arcade Subscription,North America,United States,Austin,Tablet,Price-Sensitive Customers,46.95,50.87,3.96,3.86,1.12,3511,2197,0,523,205,149,5,12,0,0,0,0,0.0,0,0,0,0,0,USD,Apple Search Ads API,apple_search_ads_api_20250319.csv,BATCH-APPL-20250319-02,2025-03-20 04:33:00
REC0014815,2025-08-05,CMP0042,Mac Website Traffic 2024 Wave 42,Website Traffic,Active,X,Affiliate Network,Static Image,Mac,MacBook Pro,Asia Pacific,Japan,Osaka,Mobile,Creative Professionals,114.06,165.97,7.22,13.96,3.23,26184,19577,0,1017,407,343,26,13,8,8,0,8,14282.73,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20250805.csv,BATCH-AFFI-20250805-01,2025-08-06 04:54:00
REC0025055,2025-06-19,CMP0071,Apple Music Customer Retention 2024 Wave 71,Customer Retention,Active,Facebook,Meta Ads Manager,Static Image,Apple Music,Apple Music Individual,Asia Pacific,India,Bengaluru,Mobile,Existing Customers,44.77,51.58,3.41,3.9,0.64,5649,3992,0,280,147,132,3,10,2,1,1,2,17.44,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20250619.csv,BATCH-META-20250619-02,2025-06-20 04:23:00
REC0030820,2025-12-23,CMP0087,Accessories Product Launch 2025 Wave 87,Product Launch,Completed,Facebook,Meta Ads Manager,Static Image,Accessories,Cases and Covers,Europe,Germany,Hamburg,Mobile,Unknown,506.83,542.36,24.26,47.4,12.23,61690,49759,0,1723,1035,740,38,67,1,1,0,2,104.25,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20251223.csv,BATCH-META-20251223-01,2025-12-24 02:13:00
REC0027671,2025-01-12,CMP0079,AirPods Holiday Promotion 2024 Wave 79,Holiday Promotion,Completed,Instagram,Meta Ads Manager,Static Image,AirPods,AirPods,North America,United States,Seattle,Connected TV,Existing Customers,174.66,187.42,7.17,10.86,6.58,21029,15311,0,917,367,280,10,16,0,0,0,0,0.0,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20250112.csv,BATCH-META-20250112-02,2025-01-13 02:44:00
REC0030806,2025-12-09,CMP0087,Accessories Product Launch 2025 Wave 87,Product Launch,Completed,Facebook,Meta Ads Manager,Static Image,Accessories,Cases and Covers,Europe,Germany,Hamburg,Mobile,Students,487.73,526.05,46.23,43.48,19.39,63238,40129,0,1512,991,838,41,71,1,0,1,1,46.74,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20251209.csv,BATCH-META-20251209-02,2025-12-10 01:04:00
REC0018190,2025-10-13,CMP0052,iPad Website Traffic 2025 Wave 52,Website Traffic,Completed,LinkedIn,LinkedIn Campaign Manager,Carousel,iPad,iPad Pro,Europe,Spain,Madrid,Mobile,New Technology Buyers,178.85,189.5,15.93,15.27,6.46,8439,6081,0,202,104,75,2,5,1,1,0,1,892.55,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20251013.csv,BATCH-ECOM-20251013-01,2025-10-14 01:13:00
REC0012734,2025-11-16,CMP0037,iCloud+ App Engagement 2025 Wave 37,App Engagement,Active,Retail Promotion,Retail Partner,Retail Display,iCloud+,iCloud+ 2TB,Europe,Germany,Berlin,Mobile,Students,193.53,234.29,9.59,26.79,5.64,14997,9230,0,269,204,167,6,15,4,1,3,4,38.1,0,0,0,0,0,USD,Retail Partner Feed,retail_partner_feed_20251116.csv,BATCH-RETA-20251116-02,2025-11-17 03:00:00
REC0014379,2026-03-13,CMP0041,Apple Arcade Online Sales 2025 Wave 41,Online Sales,Planned,Facebook,Meta Ads Manager,Static Image,Apple Arcade,Apple Arcade Subscription,Europe,Spain,Madrid,Mobile,Existing Customers,108.81,144.3,5.94,6.82,3.94,14168,10270,0,456,168,125,,7,1,0,1,1,6.47,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20260313.csv,BATCH-META-20260313-03,2026-03-14 03:57:00
REC0031432,2025-09-23,CMP0089,iCloud+ Cross-Sell 2025 Wave 89,Cross-Sell,Completed,Organic Social,Internal Email Platform,Static Image,iCloud+,iCloud+ 200GB,Asia Pacific,Singapore,Singapore,Mobile,Price-Sensitive Customers,15.0,13.42,0.78,1.02,0.26,11132,9339,,835,320,269,16,28,0,0,0,0,0.0,0,0,0,0,0,USD,CRM Export,crm_export_20250923.csv,BATCH-CRME-20250923-01,2025-09-24 03:41:00
REC0016214,2026-04-18,CMP0046,iPhone Product Launch 2025 Wave 46,Product Launch,Completed,Apple Search Ads,Apple Search Ads,Search Ad,iPhone,iPhone Pro,Europe,Germany,Berlin,Mobile,Creative Professionals,737.19,848.72,35.73,67.08,26.67,42448,36062,0,2757,1912,1464,91,80,0,0,0,0,0.0,0,0,0,0,0,USD,Apple Search Ads API,apple_search_ads_api_20260418.csv,BATCH-APPL-20260418-02,2026-04-19 04:52:00
REC0014222,2025-10-07,CMP0041,Apple Arcade Online Sales 2025 Wave 41,Online Sales,Planned,Facebook,Meta Ads Manager,Static Image,Apple Arcade,Apple Arcade Subscription,Europe,Spain,Madrid,Mobile,Existing Customers,134.3,145.56,11.41,8.43,3.78,17964,11053,0,693,352,270,13,29,0,0,0,0,0.0,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20251007.csv,BATCH-META-20251007-02,2025-10-08 05:00:00
REC0001053,2026-01-13,CMP0003,iPad Brand Awareness 2025 Wave 03,Brand Awareness,Completed,Influencer Marketing,Affiliate Network,Short Video,iPad,iPad Air,Europe,Spain,Valencia,Mobile,Existing Customers,201.47,185.09,11.33,11.48,3.52,17142,14475,5475,886,355,295,11,13,0,0,0,0,0.0,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20260113.csv,BATCH-AFFI-20260113-03,2026-01-14 05:02:00
REC0018562,2025-05-04,CMP0053,Apple Fitness+ Service Subscription 2025 Wave 53,Service Subscription,Completed,Organic Social,Internal Email Platform,Static Image,Apple Fitness+,Apple Fitness+ Subscription,Asia Pacific,Japan,Yokohama,Tablet,Young Professionals,15.0,14.7,0.66,1.58,0.56,14244,9215,0,914,441,339,20,27,1,0,1,1,8.48,0,0,0,0,0,USD,CRM Export,crm_export_20250504.csv,BATCH-CRME-20250504-01,2025-05-05 03:58:00
REC0026990,2025-07-29,CMP0076,iPhone Product Launch 2024 Wave 76,Product Launch,Completed,Email Marketing,Internal Email Platform,Email Newsletter,iPhone,iPhone Standard,Asia Pacific,India,Hyderabad,Desktop,Unknown,147.3,161.04,14.0,17.72,4.91,70829,41712,0,4404,2393,1826,54,201,0,0,0,0,0.0,77974,73586,22614,2393,44,USD,Email Marketing Platform,email_marketing_platform_20250729.csv,BATCH-EMAI-20250729-02,2025-07-30 05:14:00
REC0024142,2025-01-30,CMP0069,Apple TV+ Service Subscription 2025 Wave 69,Service Subscription,Completed,Apple Search Ads,Apple Search Ads,Search Ad,Apple TV+,Apple TV+ Subscription,Latin America,Mexico,Unknown,Mobile,Business Users,116.43,126.14,7.81,10.01,2.27,7203,5515,0,757,328,298,19,21,1,1,0,1,8.59,0,0,0,0,0,USD,Apple Search Ads API,apple_search_ads_api_20250130.csv,BATCH-APPL-20250130-01,2025-01-31 01:09:00
REC0012262,2025-08-12,CMP0036,Apple Watch Website Traffic 2025 Wave 36,Website Traffic,Cancelled,Google Display,Google Ads,Static Image,Apple Watch,Apple Watch,Europe,Germany,Hamburg,Mobile,Premium Customers,160.19,172.56,10.23,17.39,3.81,26297,22516,0,352,234,175,10,9,2,2,0,3,1147.04,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250812.csv,BATCH-GOOG-20250812-01,2025-08-13 02:37:00
REC0024080,2025-07-02,CMP0068,iPhone Online Sales 2024 Wave 68,Online Sales,Completed,Instagram,Meta Ads Manager,Short Video,iPhone,iPhone Standard,Europe,Italy,Turin,Mobile,Price-Sensitive Customers,200.19,210.3,18.8,21.3,5.69,22896,17357,14132,534,331,240,16,13,2,2,0,2,1471.71,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20250702.csv,BATCH-META-20250702-02,2025-07-03 02:19:00
REC0011190,2025-06-02,CMP0032,AppleCare+ Service Subscription 2024 Wave 32,Service Subscription,Completed,TikTok,TikTok Ads,Sponsored Post,AppleCare+,AppleCare+ Protection,Europe,Germany,Berlin,Desktop,Business Users,105.41,95.13,4.93,10.65,3.31,11014,6592,0,423,186,150,3,16,0,0,0,0,0.0,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20250602.csv,BATCH-ECOM-20250602-03,2025-06-03 05:37:00
REC0029138,2025-08-18,CMP0082,Apple Watch Online Sales 2024 Wave 82,Online Sales,Completed,YouTube,YouTube Ads,Long Video,Apple Watch,Apple Watch,Middle East and Africa,Saudi Arabia,Riyadh,Desktop,Price-Sensitive Customers,186.83,208.94,14.39,23.36,6.53,20617,17058,14550,686,388,277,16,22,2,1,1,2,761.72,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250818.csv,BATCH-GOOG-20250818-02,2025-08-19 03:31:00
REC0034612,2025-12-12,CMP0097,Mac Brand Awareness 2025 Wave 97,Brand Awareness,Completed,Email Marketing,Internal Email Platform,Email Newsletter,Mac,MacBook Pro,North America,United States,Chicago,Desktop,Price-Sensitive Customers,122.92,148.09,12.26,9.96,1.89,49650,42064,0,2264,1569,1303,103,77,3,1,2,3,5365.58,65147,63585,22157,1569,79,USD,Email Marketing Platform,email_marketing_platform_20251212.csv,BATCH-EMAI-20251212-01,2025-12-13 01:18:00
REC0007681,2025-09-11,CMP0022,Accessories Product Launch 2025 Wave 22,Product Launch,Completed,Google Display,Google Ads,Static Image,Accessories,Cases and Covers,Europe,Spain,Madrid,Desktop,Existing Customers,485.3,410.06,15.81,40.45,10.57,79711,61507,0,1204,670,511,20,45,1,1,0,1,50.0,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250911.csv,BATCH-GOOG-20250911-01,2025-09-12 04:15:00
REC0031085,2025-02-03,CMP0088,AppleCare+ Cross-Sell 2024 Wave 88,Cross-Sell,Completed,LinkedIn,LinkedIn Campaign Manager,Sponsored Post,AppleCare+,AppleCare+ Protection,Latin America,Mexico,Mexico City,Mobile,Service Subscribers,42.28,42.13,3.4,1.92,1.16,2131,1919,0,55,27,19,0,0,0,0,0,0,0.0,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20250203.csv,BATCH-ECOM-20250203-02,2025-02-04 02:01:00
REC0029737,2025-12-26,CMP0084,iCloud+ Service Subscription 2025 Wave 84,Service Subscription,Completed,Google Display,Google Ads,Display Banner,iCloud+,iCloud+ 2TB,North America,United States,Chicago,Mobile,Young Professionals,142.47,144.32,8.26,7.94,1.85,23432,16077,0,339,247,207,7,9,1,1,0,1,9.7,0,0,0,0,0,USD,Google Ads API,google_ads_api_20251226.csv,BATCH-GOOG-20251226-01,2025-12-27 05:23:00
REC0026234,2025-06-27,CMP0074,Apple TV+ Customer Retention 2024 Wave 74,Customer Retention,Completed,Apple Search Ads,Apple Search Ads,Search Ad,Apple TV+,Apple TV+ Subscription,Asia Pacific,South Korea,Unknown,Desktop,Price-Sensitive Customers,49.52,49.34,2.12,2.83,0.6,2679,1836,0,199,137,97,1,4,0,0,0,0,0.0,0,0,0,0,0,USD,Apple Search Ads API,apple_search_ads_api_20250627.csv,BATCH-APPL-20250627-02,2025-06-28 04:39:00
REC0012526,2026-05-03,CMP0036,Apple Watch Website Traffic 2025 Wave 36,Website Traffic,Cancelled,Google Display,Google Ads,Static Image,Apple Watch,Apple Watch,Europe,Germany,Hamburg,Desktop,Premium Customers,174.81,202.45,8.04,19.95,6.81,31772,24788,0,513,236,197,7,15,5,4,1,5,1984.11,0,0,0,0,0,USD,Google Ads API,google_ads_api_20260503.csv,BATCH-GOOG-20260503-01,2026-05-04 05:44:00
REC0017969,2025-09-24,CMP0051,Apple Arcade Service Subscription 2025 Wave 51,Service Subscription,Completed,Affiliate Marketing,Affiliate Network,Sponsored Post,Apple Arcade,Apple Arcade Subscription,Middle East and Africa,Saudi Arabia,Riyadh,Mobile,Students,45.3,60.2,5.28,4.18,1.33,8513,7035,0,411,218,156,10,7,4,0,4,4,24.82,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20250924.csv,BATCH-AFFI-20250924-02,2025-09-25 02:35:00
REC0019918,2025-07-05,CMP0056,Apple Fitness+ Customer Retention 2024 Wave 56,Customer Retention,Completed,Retail Promotion,Retail Partner,Retail Display,Apple Fitness+,Apple Fitness+ Subscription,Asia Pacific,Japan,Osaka,Desktop,High-Value Customers,71.34,62.37,2.84,5.49,0.93,4158,3222,0,102,55,46,2,4,1,0,1,1,9.97,0,0,0,0,0,USD,Retail Partner Feed,retail_partner_feed_20250705.csv,BATCH-RETA-20250705-01,2025-07-06 02:48:00
REC0011496,2025-05-01,CMP0033,Apple Arcade Online Sales 2024 Wave 33,Online Sales,Completed,Google Search,Google Ads,Search Ad,Apple Arcade,Apple Arcade Subscription,Europe,United Kingdom,Manchester,Mobile,New Technology Buyers,82.87,82.29,5.53,4.68,1.9,4716,4244,0,465,249,196,6,15,1,1,0,1,6.76,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250501.csv,BATCH-GOOG-20250501-03,2025-05-02 02:03:00
REC0014876,2025-01-24,CMP0043,Apple TV+ Online Sales 2024 Wave 43,Online Sales,Completed,Retail Promotion,Retail Partner,Retail Display,Apple TV+,Apple TV+ Subscription,Asia Pacific,South Korea,Seoul,Mobile,Price-Sensitive Customers,112.37,112.57,7.98,6.74,1.37,8151,5271,0,315,113,93,1,8,0,0,0,0,0.0,0,0,0,0,0,USD,Retail Partner Feed,retail_partner_feed_20250124.csv,BATCH-RETA-20250124-02,2025-01-25 03:23:00
REC0031377,2025-07-30,CMP0089,iCloud+ Cross-Sell 2025 Wave 89,Cross-Sell,Completed,Organic Social,Internal Email Platform,Static Image,iCloud+,iCloud+ 200GB,Asia Pacific,Singapore,Singapore,Desktop,Price-Sensitive Customers,15.0,15.84,0.78,0.83,0.41,13817,8335,0,606,460,391,15,25,3,3,0,3,8.54,0,0,0,0,0,USD,CRM Export,crm_export_20250730.csv,BATCH-CRME-20250730-03,2025-07-31 04:36:00
REC0018069,2026-01-02,CMP0051,Apple Arcade Service Subscription 2025 Wave 51,Service Subscription,Completed,Affiliate Marketing,Affiliate Network,Sponsored Post,Apple Arcade,Apple Arcade Subscription,Middle East and Africa,Saudi Arabia,Riyadh,Mobile,Students,36.65,40.06,3.18,4.3,1.38,4603,3462,0,177,114,87,3,4,2,0,2,2,13.45,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20260102.csv,BATCH-AFFI-20260102-03,2026-01-03 04:07:00
REC0005326,2025-04-23,CMP0015,Apple Arcade Service Subscription 2024 Wave 15,Service Subscription,Completed,TikTok,TikTok Ads,Sponsored Post,Apple Arcade,Apple Arcade Subscription,Asia Pacific,India,Hyderabad,Mobile,Students,71.68,79.06,5.2,8.31,2.77,9515,8086,0,236,176,145,8,13,2,2,0,2,9.6,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20250423.csv,BATCH-ECOM-20250423-01,2025-04-24 02:52:00
REC0009292,2025-10-26,CMP0027,Apple Fitness+ Upsell 2025 Wave 27,Upsell,Completed,Facebook,Meta Ads Manager,Static Image,Apple Fitness+,Apple Fitness+ Subscription,North America,United States,Austin,Mobile,Service Subscribers,54.29,53.62,2.61,4.0,1.15,6525,4609,0,243,116,103,7,10,2,0,2,2,20.18,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20251026.csv,BATCH-META-20251026-01,2025-10-27 01:36:00
REC0031860,2025-02-14,CMP0090,Apple Fitness+ Cross-Sell 2024 Wave 90,Cross-Sell,Completed,Influencer Marketing,Affiliate Network,Short Video,Apple Fitness+,Apple Fitness+ Subscription,Asia Pacific,India,Chennai,Mobile,Price-Sensitive Customers,39.77,63.97,2.67,3.52,2.1,5008,4428,3062,118,92,69,3,7,2,0,2,2,13.93,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20250214.csv,BATCH-AFFI-20250214-03,2025-02-15 01:26:00
